Zaloznik,zanr1,zanr2,esbr
Dynamix,Sci-Fi,Arcade,T
Ensemble,Historic,Command,T
Rare,Racing,Kart,E
Nintendo,Shooter,Rail,E
EA,Sim,Sim,
Moon,Platformer,2D,E
PlatinumGames,Role-Playing,Action RPG,M
Q,Matching,Matching,E
ChunSoft,General,Visual Novel,M
Arkane,Action Adventure,General,M
EA,Sim,Sim,
Crystal,Action Adventure,Linear,M
Heart,Role-Playing,Action RPG,T
EA,Sim,Sim,
Naughty,Modern,Linear,T
Stoic,Turn-Based,Tactics,T
Ubisoft,Modern,Modern,M
Backbone,2D,2D,T
EA,Golf,Sim,E
Headgate,Sim,Sim,E
Blizzard,General,Fantasy,T
EA,Golf,Sim,E
Quest,Turn-Based,Fantasy,E
Blizzard,Sci-Fi,Command,T
Ubisoft,Historic,Open-World,M
EA,Modern,Arcade,M
Naughty,General,Modern,M
Ubisoft,Modern,Arcade,M
EA,Sim,Sim,E
Zen,Pinball,Pinball,
KCET,Sim,Sim,E
EA,Traditional,Boxing,T
LucasArts,General,General,
Yacht,Platformer,2D,E
UBlart,2D,2D,
Bizarre,Simulation,Automobile,
Visual,Basketball,Sim,E
EA,Modern,Arcade,M
Jupiter,Action RPG,Action RPG,T
Runic,Action RPG,Action RPG,
Firaxis,General,Tactics,T
Arkane,Action Adventure,General,M
Giant,3D,First-Person,T
NetherRealm,Fighting,2D,
Studio,Platformer,2D,
Larian,Action RPG,Western-Style,M
4J,Fantasy,Fantasy,
DrinkBox,Platformer,2D,
Firaxis,General,Tactics,M
EA,Football,Sim,E
Kush,Ice Hockey,Sim,E
EA,Football,Sim,E
EA,Soccer,Sim,E
Insomniac,Platformer,3D,T
EA,Golf,Sim,E
Free,First-Person,Sci-Fi,T
Smilebit,Platformer,3D,T
Volition,First-Person,Sci-Fi,M
Bungie,Fantasy,General,M
Team,General,Fantasy,M
Intelligent,Turn-Based,Tactics,T
Zen,Pinball,Pinball,E
TOSE,Fantasy,Tactics,T
Electronic,Sim,Sim,
Nintendo,Platformer,2D,E
Bethesda,Role-Playing,First-Person,T
Nintendo,Puzzle,General,E
Game,Role-Playing,Trainer,E
Treyarch,Historic,Arcade,M
Gray,Historic,Arcade,M
Moon,Platformer,2D,E
Moon,Platformer,2D,E
EA,Football,Sim,E
EA,Basketball,Arcade,E
EA,Football,Sim,E
Monolith,Sci-Fi,Arcade,M
Blendo,3D,First-Person,
CD,Role-Playing,Action RPG,M
Blizzard,Turn-Based,Card Battle,T
Rockstar,Modern,Open-World,M
Telltale,General,Compilation,M
Creative,Historic,General,T
Respawn,First-Person,Tactical,T
Sucker,Platformer,3D,E
