Zaloznik,zanr1,zanr2,esbr
Infinity,Modern,Arcade,M
EA,Sim,Sim,E
Respawn,First-Person,Tactical,T
Tarsier,3D,3D,E
DrinkBox,2D,2D,
Peter,General,General,
Electronic,Sim,Sim,E
Treasure,Shooter,Vertical,
Blizzard,Role-Playing,Massively Multiplayer,T
Obsidian,Role-Playing,Western-Style,M
Shin,Puzzle,General,E
EA,Baseball,Sim,E
Steel,3D,First-Person,
Hello,Arcade,Automobile,E
Nicalis,Platformer,2D,
FASA,Flight,WWII,T
EA,Racing,Stock Car,E
Criterion,Racing,Arcade,E
Free,First-Person,Sci-Fi,T
Mythic,Fantasy,Fantasy,T
BioWare,Role-Playing,Western-Style,T
The,Tactical,Modern,M
D,Action Adventure,General,
Croteam,First-Person,Sci-Fi,
EA,Modern,Arcade,M
Matt,Platformer,2D,
Beenox,Skateboarding,Skateboarding,T
Infinite,Adventure,General,
Moon,Platformer,2D,E
Criterion,Arcade,Automobile,
11,Action Adventure,Survival,M
Namco,Arcade,Automobile,E
Playground,Simulation,Automobile,E
EA,Traditional,Boxing,T
Housemarque,Shooter,Top-Down,T
Team,Role-Playing,Action RPG,M
Nintendo,Virtual,Virtual Life,E
Blizzard,Action RPG,Action RPG,M
Arc,Fighting,2D,T
Ninja,Action Adventure,General,M
Telltale,General,Compilation,M
Visual,Sim,Sim,E
CD,Action RPG,Action RPG,M
EA,Golf,Sim,E
EA,Alternative,Snowboarding,E
Oddworld,Platformer,2D,T
PopCap,Fantasy,Defense,
Ubisoft,Music,Music,T
Criterion,Arcade,Automobile,
DrinkBox,Platformer,2D,
id,Sci-Fi,Arcade,M
Unknown,Adventure,General,
Codemasters,Simulation,Automobile,E
ConcernedApe,Role-Playing,General,
Capcom,Action Adventure,General,M
Team,2D,2D,T
Monolith,Fantasy,Open-World,M
343,First-Person,Arcade,M
Nintendo,Action Adventure,Open-World,E
Sports,Management,Management,E
Square,Role-Playing,Massively Multiplayer,T
From,Role-Playing,Action RPG,M
Firaxis,General,Tactics,T
Backbone,2D,2D,T
NetherRealm,Fighting,2D,T
Zipper,Tactical,Modern,M
Thekla,3D,First-Person,E
id,Third-Person,Arcade,M
Arc,2D,2D,T
Digital,Driving,Racing,E
Just,2D,2D,T
Spike,Action Adventure,General,M
Motion,Platformer,2D,T
EA,First-Person,Tactical,M
Rockstar,Driving,Racing,
From,Role-Playing,Action RPG,M
LucasArts,General,General,
Rockstar,Historic,Open-World,M
Game,Role-Playing,Trainer,E
Hempuli,Action,General,
Level,Role-Playing,Japanese-Style,
Game,Role-Playing,Trainer,E
Ubisoft,General,Modern,T
Snowblind,Role-Playing,Action RPG,T
Paradox,General,Historic,E
Shaba,Alternative,Skateboarding,E
Bizarre,Driving,Racing,E
Capcom,Fighting,3D,T
Criterion,Arcade,Automobile,
EA,Sim,Sim,E
Level,Historic,Tactics,T
Capcom,Fighting,2D,T
EA,Modern,Arcade,M
DrinkBox,2D,2D,
EA,Sim,Sim,E
M2,General,Visual Novel,M
EA,Football,Sim,E
Codemasters,Simulation,Automobile,E
Infinite,Adventure,General,T
Codemasters,Simulation,Automobile,T
Player,Puzzle,General,E
Brace,General,Action RPG,
Asterizm,2D,2D,
Rockstar,Modern,Arcade,M
Game,Role-Playing,Trainer,E
Ironclad,Sci-Fi,General,T
Telltale,General,General,M
Treasure,Scrolling,Vertical,E
Quantic,Third-Person,Modern,M
Amusement,Miscellaneous,Party,E
FASA,Mech,Combat,T
Looking,General,Fantasy,M
Square,Fantasy,Tactics,T
Ubisoft,Action Adventure,Modern,M
Blizzard,Action RPG,Action RPG,M
LucasArts,General,General,
Valve,Sci-Fi,Arcade,M
Capcom,Action Adventure,Fantasy,M
DrinkBox,Platformer,2D,
BioWare,Action RPG,Action RPG,M
Codemasters,Simulation,Automobile,T
Dodge,Action,General,T
Sony,Modern,Modern,M
Bethesda,Role-Playing,First-Person,T
Facepalm,2D,2D,
Studio,Platformer,2D,
Game,Role-Playing,Trainer,E
KCET,Platformer,2D,T
Arc,Fighting,2D,T
Io,General,Modern,M
Ubisoft,Action Adventure,Open-World,M
Simogo,First-Person,Modern,
Rocksteady,Action Adventure,Open-World,M
Team,Fighting,3D,T
Naughty,Platformer,3D,T
PlatinumGames,Action Adventure,General,T
Nintendo,Kart,Automobile,E
Square,Turn-Based,Fantasy,E
EA,Football,Sim,E
Rockstar,Historic,Open-World,M
Rockstar,Modern,Arcade,M
Insomniac,Action Adventure,Open-World,T
Capcom,Action Adventure,General,T
Game,Role-Playing,Trainer,E
Nintendo,2D,2D,E
iNiS,Music,Music,
Ubisoft,Action Adventure,Fantasy,T
Intelligent,,,E
Exient,Music,Music,T
Matt,Action,General,
Crystal,Modern,Linear,M
Team,Action Adventure,General,
Nintendo,Racing,Kart,E
Ubisoft,2D,2D,
EA,Modern,Arcade,M
Blue,Baseball,Sim,E
KCEJ,Action Adventure,Modern,M
Digital,Driving,Racing,E
EA,Sim,Sim,E
Treasure,Shooter,Scrolling,E
Black,General,Western-Style,T
Turn,Simulation,Automobile,E
Retro,2D,2D,E
Rockstar,Action Adventure,Modern,T
Treyarch,Historic,Arcade,M
Thekla,3D,First-Person,E
Intelligent,Turn-Based,Tactics,T
Matt,Action,General,
Media,Adventure,General,E
Vicarious,Platformer,3D,
Psyonix,Soccer,Arcade,E
Kojima,General,Modern,M
M2,Platformer,2D,E
Capcom,General,General,E
Telltale,General,Compilation,M
SCEA,Sim,Sim,E
Gearbox,Historic,Arcade,M
Day,Sci-Fi,Mech,T
Visual,Football,Sim,E
TimeGate,General,Command,T
EA,Sim,Sim,E
Nintendo,Miscellaneous,Virtual Life,E
Abstraction,General,Linear,M
Arc,2D,2D,T
EA,Boxing,Combat,T
Image,Turn-Based,General,
Nintendo,Fantasy,Open-World,
Visceral,Sci-Fi,Arcade,M
Codemasters,Simulation,Automobile,T
Survios,First-Person,Arcade,
Nippon,Fantasy,Tactics,T
Game,Role-Playing,Trainer,E
EA,Football,Sim,E
BioWare,Role-Playing,Western-Style,M
Ubisoft,Action Adventure,Fantasy,T
Blizzard,Role-Playing,Action RPG,M
Cing,General,Fantasy,T
Konami,Soccer,Sim,E
Konami,Soccer,Sim,E
Respawn,First-Person,Arcade,M
GRIN,2D,2D,M
Spike,Miscellaneous,Compilation,M
EA,Racing,Stock Car,E
KCEJ,Action Adventure,Modern,M
Visual,Basketball,Sim,E
Creative,Historic,General,T
Croteam,Sci-Fi,Arcade,M
Hasbro,Formula One,Automobile,E
EA,Baseball,Sim,E
UBlart,2D,2D,
SCEA,Sim,Sim,E
Game,Role-Playing,Trainer,E
MachineGames,First-Person,Arcade,M
Tom,Action Adventure,General,
Gray,Historic,Arcade,T
Vanillaware,Role-Playing,Action RPG,T
Studio,Futuristic,Futuristic,
FDG,Action Adventure,General,
Larian,Action RPG,Western-Style,M
Wadjet,Adventure,General,
Relic,General,Military,M
M2,Arcade,Automobile,E
Bandai,Action Adventure,General,E
Bungie,First-Person,Arcade,T
Gaijin,Music,Music,T
BlitWorks,Action Adventure,General,
Double,3D,3D,T
Codemasters,Simulation,Automobile,T
Epic,Sci-Fi,Arcade,M
UBlart,2D,2D,
Treasure,Rail,Rail,T
Playground,Simulation,Automobile,
Out,Baseball,Sim,
Amusement,Miscellaneous,Party,E
FuturLab,Scrolling,Vertical,E
Codemasters,Simulation,Automobile,E
Zen,Pinball,Pinball,E
Mossmouth,2D,2D,T
From,Role-Playing,Action RPG,T
Insomniac,Sci-Fi,Arcade,M
PLAYDEAD,Platformer,2D,M
ThatGameCompany,General,General,E
Paradox,General,Historic,T
Blizzard,Action RPG,Action RPG,M
FuturLab,Action,General,
Sega,Platformer,2D,E
Firaxis,General,Tactics,T
Visual,Basketball,Sim,
Nintendo,General,Fantasy,
Creative,Real-Time,Tactics,T
EA,Sim,Sim,E
EA,Alternative,Snowboarding,E
Impressions,Management,Government,E
Reflections,Driving,Mission-based,T
EA,Traditional,Boxing,T
Namco,Role-Playing,Action RPG,T
FuturLab,Scrolling,Vertical,E
Infinite,Matching,Matching,
Playground,Simulation,Automobile,
Cryptozoic,Turn-Based,Card Battle,
Blizzard,Massively Multiplayer,Fantasy,T
SCE,2D,3D,
Capcom,Action Adventure,General,T
Q,Static,Top-Down,
Relic,Sci-Fi,General,M
Level,Role-Playing,Action RPG,T
Codemasters,Simulation,Automobile,E
Asymmetric,Role-Playing,General,
Ubisoft,Action Adventure,Modern,T
Joakim,Action Adventure,Open-World,T
Square,Role-Playing,Action RPG,
Level,Role-Playing,Japanese-Style,
Joakim,Action Adventure,Open-World,T
Bethesda,Role-Playing,Western-Style,M
Visual,Sim,Sim,E
PlatinumGames,Fantasy,Linear,M
Insomniac,3D,3D,
Visual,Basketball,Sim,E
Climax,Motorcycle,Street,E
Arc,Fighting,2D,T
Sonic,Platformer,2D,E
Gearbox,First-Person,Sci-Fi,M
Pyro,General,Military,T
Neversoft,Action Adventure,Sci-Fi,E
Acquire,Action Adventure,Fantasy,M
Atlus,,,M
Q,Fantasy,Defense,E
Playground,Simulation,Automobile,E
Telltale,Adventure,General,
Epic,Sci-Fi,Arcade,M
Frontier,3D,3D,E
drool,Rhythm,Music,
Ludeon,Sci-Fi,General,
Supergiant,Action RPG,Action RPG,
Thekla,3D,First-Person,E
The,3D,First-Person,
Namco,General,Arcade,E
Good,2D,2D,E
Hudson,Puzzle,Action,E
FreeStyleGames,Music,Music,T
Bluepoint,General,Compilation,T
Bethesda,First-Person,Western-Style,M
Psyonix,Soccer,Arcade,E
Gas,General,Command,
Telltale,Adventure,General,M
Creative,General,Historic,T
Mucky,Management,Government,T
EA,Basketball,Sim,E
Razorworks,Helicopter,Civilian,T
KCET,Action Adventure,Horror,M
Black,First-Person,Western-Style,M
HAL,2D,2D,E
Criterion,Arcade,Automobile,
Square,Role-Playing,Massively Multiplayer,T
Sports,Management,Management,
Out,Management,Management,
Kush,Ice Hockey,Sim,E
Codemasters,Simulation,Automobile,E
CD,Action RPG,Action RPG,M
Brace,General,Action RPG,T
Yuke,Combat,Wrestling,T
Gearbox,Sci-Fi,Arcade,M
Infinity,Historic,Arcade,T
Codemasters,Simulation,Automobile,E
Edelweiss,Vertical,Horizontal,
Konami,Soccer,Sim,E
EA,Racing,Stock Car,E
Capcom,Action Adventure,Fantasy,M
Massive,Sci-Fi,General,T
Studio,Platformer,2D,
FuturLab,Scrolling,Vertical,
Iron,Fighting,2D,
Sega,Historic,Tactics,T
Obsidian,Role-Playing,Western-Style,M
Yacht,Platformer,2D,E
Sabotage,Platformer,2D,
Insomniac,Sci-Fi,Arcade,M
EA,Puzzle,General,E
Sickhead,Role-Playing,General,
Crystal,General,Linear,M
Visual,Basketball,Sim,E
Omega,Action Adventure,Sandbox,
Creative,Turn-Based,General,T
Capy,General,General,
EA,Football,Sim,E
Retro,Platformer,2D,E
FDG,Action Adventure,General,
Arc,2D,2D,T
Capcom,Horror,Survival,M
Volition,Modern,Open-World,M
Criterion,Simulation,Automobile,
Ninja,General,Linear,M
Pandemic,Action Adventure,Modern,T
Virtuos,Miscellaneous,Compilation,T
Black,Sci-Fi,Arcade,
Neversoft,Music,Music,T
Sony,Fantasy,Fantasy,T
Camelot,,,E
eSim,Vehicle,Combat,T
Eden,Driving,Racing,E
Cavedog,General,Command,T
Capcom,Role-Playing,Action RPG,T
Failbetter,Action Adventure,General,
Criterion,Arcade,Automobile,
Supergiant,Role-Playing,Action RPG,T
Electronic,Sim,Sim,E
SCE,2D,Music,E
Firaxis,Historic,4X,
Infinite,Shooter,Vertical,
BioWare,Role-Playing,Western-Style,M
5pb,Action,General,M
The,Virtual,Virtual Life,T
Visual,Basketball,Sim,
Irrational,Role-Playing,Western-Style,T
Curve,3D,2D,E
Ron,,,T
Respawn,Sci-Fi,Arcade,M
HAL,Puzzle,Logic,E
Crystal,Modern,Linear,M
Nicalis,Survival,Top-Down,
Hi,Sci-Fi,Arcade,T
Respawn,Sci-Fi,Arcade,M
Gearbox,Sci-Fi,Arcade,M
UBlart,2D,2D,
Vicarious,Alternative,Skateboarding,E
EA,Soccer,Sim,E
Game,,,T
Matrix,Role-Playing,Action RPG,T
4J,Action Adventure,Sandbox,
The,Third-Person,Arcade,M
WayForward,Platformer,2D,T
Arc,Fighting,2D,T
Zen,Pinball,Pinball,E
Ready,Fantasy,Linear,M
RedLynx,Street,Street,T
Sam,Adventure,Visual Novel,
Blizzard,Role-Playing,Action RPG,M
Next,Boxing,Combat,
Visual,Basketball,Sim,E
KCET,,,T
Treasure,Scrolling,Vertical,T
Blizzard,Sci-Fi,Command,T
Arkane,Action Adventure,General,M
Witch,Shooter,Top-Down,
DrinkBox,Platformer,2D,
Ryu,Action Adventure,Open-World,M
Capcom,Action Adventure,Survival,M
Gaijin,Music,Music,T
BioWare,Action RPG,Action RPG,M
Traveller,Sci-Fi,General,
Arc,Fighting,2D,T
Rockstar,Driving,Racing,T
Gas,Action RPG,Action RPG,T
Obsidian,Role-Playing,Third-Person,T
Crytek,Sci-Fi,Arcade,M
Intelligent,Puzzle,Action,E
Alphadream,Role-Playing,Japanese-Style,E
Ubisoft,Action Adventure,Fantasy,T
NetherRealm,2D,2D,M
Infinity,Modern,Arcade,M
Vicarious,Music,Music,T
Starbreeze,Fantasy,Linear,T
Namco,Fighting,3D,T
Electronic,Sim,Sim,
EA,Sim,Sim,E
Iron,2D,2D,T
Square,Role-Playing,Japanese-Style,T
LucasArts,General,General,
Remedy,Modern,Arcade,M
Gearbox,Miscellaneous,Compilation,
Radical,Role-Playing,Action RPG,
Stardock,Sci-Fi,4X,
Intelligent,Puzzle,General,E
MachineGames,First-Person,Arcade,M
Nintendo,Virtual,Virtual Life,E
Crystal,Modern,Linear,M
Ninja,Fantasy,Linear,M
Dreamworks,First-Person,Historic,T
Capcom,Action Adventure,Sci-Fi,M
Raven,Sci-Fi,Arcade,T
EA,Racing,Arcade,E
Arc,Fighting,2D,T
Bungie,First-Person,Arcade,T
Iron,2D,2D,T
Level,Puzzle,General,
Ubisoft,Historic,Open-World,M
Namco,Action,General,E
Sports,Management,Management,E
Harmonix,Dancing,Dancing,T
1C,General,Tactics,T
Sucker,Platformer,3D,E
1C,WWII,Combat,T
Bizarre,Static,Top-Down,E
EA,Boxing,Combat,T
Electronic,Ice Hockey,Sim,
Codemasters,Simulation,Automobile,E
Harmonix,Rhythm,Music,T
Supergiant,Action RPG,Action RPG,
Codemasters,Simulation,Automobile,T
4J,First-Person,Fantasy,
SegaSoft,Platformer,2D,E
Nintendo,Action Adventure,Fantasy,E
Hello,Arcade,Automobile,E
Namco,,,T
EA,Boxing,Combat,M
EA,Basketball,Sim,E
Codemasters,Driving,Racing,E
Ubisoft,Tactical,Modern,M
Codemasters,Driving,Racing,E
Criterion,Racing,Arcade,E
Digital,Sci-Fi,Arcade,M
Triumph,General,Fantasy,T
Amusement,Racing,Arcade,E
Microsoft,Sim,Sim,E
Sony,Massively Multiplayer,Fantasy,T
LucasArts,Adventure,General,
Namco,Action,General,E
Turbine,Fantasy,Fantasy,T
Rockstar,Modern,Open-World,M
NetherRealm,Fighting,2D,M
Daniel,Puzzle,General,
Crystal,Modern,Linear,M
Relic,Sci-Fi,General,M
Blizzard,Action RPG,Action RPG,M
Sony,Baseball,Sim,E
Red,Modern,Modern,T
DrinkBox,2D,2D,
Firaxis,Turn-Based,4X,
Rockstar,Modern,Arcade,M
EA,Skateboarding,Skateboarding,T
EA,Massively Multiplayer,Fantasy,T
Capcom,Action Adventure,Survival,M
Electronic,Sim,Sim,
Crystal,General,Linear,M
EA,Sci-Fi,Arcade,M
Bluehole,First-Person,Tactical,T
Intelligent,Modern,Tactics,
Bethesda,First-Person,Western-Style,M
drool,Rhythm,Music,
Ubisoft,Music,Music,T
GRIN,2D,2D,M
FreeStyleGames,Music,Music,T
Playground,Simulation,Automobile,
EA,Sim,Sim,E
Bloober,3D,First-Person,M
Zen,Pinball,Pinball,
Delphine,Motorcycle,Street,E
Westwood,Sci-Fi,Command,T
Paradox,General,General,E
LucasArts,Third-Person,Fantasy,T
Hyperbolic,Action,General,E
Image,Turn-Based,General,
1C,WWII,Combat,T
Firaxis,General,Tactics,M
Digital,Third-Person,Arcade,M
Square,Role-Playing,Massively Multiplayer,T
Bee,Fantasy,Linear,M
Harmonix,Rhythm,Dancing,T
Sidhe,General,General,E
Square,Massively Multiplayer,Fantasy,T
Respawn,First-Person,Arcade,M
Next,General,Fantasy,E
FreeStyleGames,Music,Music,T
Vicarious,Music,Music,T
BudCat,Platformer,3D,T
Neversoft,Music,Music,T
EA,Modern,Arcade,M
Square,Role-Playing,Japanese-Style,T
Nd,Racing,Futuristic,E
Zen,Action,Pinball,
Techland,Action Adventure,Survival,
Bungie,First-Person,Arcade,T
Blizzard,General,MOBA,T
Codemasters,Simulation,Automobile,T
Otomate,Adventure,Visual Novel,T
Ubisoft,Modern,Modern,M
Firaxis,Historic,4X,E
Iguana,First-Person,Sci-Fi,M
Grinding,Role-Playing,Action RPG,
EA,Modern,Arcade,M
Arc,Fighting,2D,T
roll7,Individual,Skateboarding,T
Ubisoft,Historic,Open-World,M
Turn,Simulation,Automobile,E
EA,Sim,Sim,
Warner,2D,3D,M
Sports,Soccer,Management,E
Horberg,Miscellaneous,Compilation,
Arc,2D,2D,T
Clover,,,T
Arc,Fighting,2D,T
Double,,,
Bethesda,First-Person,Western-Style,M
Ubisoft,Action Adventure,Open-World,M
EA,Football,Sim,E
Monster,Role-Playing,Action RPG,T
Intelligent,Turn-Based,Tactics,T
Codemasters,Simulation,Automobile,E
Tantalus,Platformer,2D,E
Psyonix,Futuristic,Arcade,E
Tantalus,General,Open-World,T
Brace,Rhythm,Music,E
Radial,Management,Government,E
From,Role-Playing,Action RPG,M
QLOC,Fighting,2D,T
Falcom,Role-Playing,Japanese-Style,T
Housemarque,Scrolling,Horizontal,
Hudson,Stacking,Stacking,E
Visual,Basketball,Sim,E
Microsoft,Small Spaceship,Combat,E
Capcom,Role-Playing,Action RPG,T
Atlus,General,Japanese-Style,
WayForward,2D,2D,
Konami,2D,2D,T
Ubisoft,General,Modern,M
Z,Alternative,Skating,T
Croteam,3D,First-Person,
Colossal,Management,Government,E
Codemasters,Simulation,Automobile,E
Bizarre,Simulation,Automobile,E
Nintendo,Sci-Fi,Arcade,T
Drool,Rhythm,Music,
Brace,General,Action RPG,T
Mercury,Action Adventure,Open-World,
roll7,Individual,Skateboarding,T
Cygames,Role-Playing,Japanese-Style,T
Rockstar,Driving,Racing,
EA,Sim,Sim,
Level,Role-Playing,Japanese-Style,
Simogo,Rhythm,Music,
Telltale,General,Fantasy,M
Yuke,Combat,Wrestling,T
Ubisoft,Action Adventure,Fantasy,M
PopCap,Fantasy,Defense,
EA,Basketball,Sim,E
EA,Ice Hockey,Sim,E
Io,Action Adventure,Modern,M
Atari,Modern Jet,Combat,T
Red,Modern,Modern,T
Oddworld,Platformer,2D,T
BudCat,Sim,Sim,E
Almost,First-Person,Western-Style,
EA,Sim,Sim,E
Neversoft,Music,Music,T
Sanzaru,Compilation,Compilation,
Eighting,2D,2D,T
CD,Turn-Based,Card Battle,T
Telltale,3D,Third-Person,T
Ready,3D,3D,
BioWare,Action RPG,Western-Style,M
Telltale,Adventure,General,M
Blizzard,Turn-Based,Card Battle,
SCEA,Sim,Sim,E
Epic,First-Person,Sci-Fi,M
Campo,3D,First-Person,M
EA,Modern,Arcade,M
Ubisoft,Modern,Modern,M
Capcom,2D,3D,T
Paragon,Modern,Modern,T
Straight,Role-Playing,Action RPG,M
The,Action,2D,T
Game,Role-Playing,Trainer,E
Crystal,Third-Person,Modern,T
Arc,Fighting,2D,T
Irrational,Modern,Arcade,M
Rockstar,Driving,Racing,T
Z,Alternative,Skating,T
Dreamworks,Fantasy,Arcade,M
Attention,Racing,Futuristic,E
Sony,Fantasy,Fantasy,T
Nintendo,Racing,Futuristic,E
RedLynx,Automobile,Street,T
Ubisoft,General,Modern,M
Mega,Turn-Based,Card Battle,
Obsidian,Role-Playing,Western-Style,M
Silicon,Role-Playing,Japanese-Style,T
DrinkBox,Platformer,2D,
id,First-Person,Arcade,M
Ubisoft,First-Person,Modern,M
Relic,Sci-Fi,General,M
Treyarch,First-Person,Tactical,M
Jacob,,,
Visual,Sim,Sim,E
EA,Modern,Arcade,M
Namco,Fighting,3D,T
Capcom,Action Adventure,Fantasy,M
Volition,Sci-Fi,Arcade,M
SquareSoft,,,T
Infinite,Adventure,General,T
Triumph,Turn-Based,General,T
Stunlock,Real-Time,MOBA,
EA,Sci-Fi,General,T
EA,Sim,Sim,E
Rocksteady,Action Adventure,Open-World,M
Ubisoft,Historic,Open-World,M
Hitmaker,Shooter,Scrolling,E
Arc,2D,2D,T
DONTNOD,Action Adventure,General,M
Gaijin,Music,Music,T
Dennaton,General,Linear,M
Neversoft,Music,Music,T
Square,Role-Playing,Action RPG,T
Team,Role-Playing,Action RPG,M
Out,Sim,Sim,
EA,Ice Hockey,Sim,E
Blueshift,Baseball,Sim,E
Sir,General,Western-Style,T
Monolith,Sci-Fi,Arcade,M
Bohemia,Modern,Modern,M
Electronic,Racing,Arcade,E
ProSoft,Shooter,Scrolling,T
PopTop,Modern,Government,T
Planet,Sci-Fi,Arcade,M
Climax,Motorcycle,Street,E
Psyonix,Soccer,Arcade,E
Team,3D,3D,M
EA,Stock Car,Automobile,E
Red,Action Adventure,Survival,
Black,Arcade,Automobile,E
Crytek,Sci-Fi,Arcade,M
Turbine,Fantasy,Fantasy,T
Namco,3D,3D,T
SquareSoft,Role-Playing,Action RPG,E
Nicalis,Shooter,Top-Down,M
Abstraction,General,Linear,M
Frictional,Horror,Survival,M
Namco,3D,3D,T
Bizarre,Driving,Racing,E
Big,Role-Playing,Action RPG,M
PLAYGROUND,Simulation,Automobile,T
Snapshot,Turn-Based,General,
Ubisoft,Action Adventure,Open-World,M
SimBin,Simulation,Automobile,E
SquareSoft,Role-Playing,Japanese-Style,T
Nautilus,,,T
Cellar,2D,2D,
EA,Sim,Sim,E
Sony,Modern,Arcade,T
Sports,Management,Management,E
Humble,Action RPG,Action RPG,
EA,Basketball,Sim,E
EA,Ice Hockey,Sim,E
Visual,Football,Sim,E
Obsidian,General,General,M
LucasArts,General,General,
Ubisoft,Historic,Open-World,M
Intelligent,Turn-Based,Fantasy,E
BioWare,Action RPG,Western-Style,M
From,Action RPG,Action RPG,M
Edmund,Shooter,Top-Down,M
Visual,Sim,Sim,E
Mimimi,Real-Time,Tactics,
Bandai,2D,3D,
Creative,Historic,General,T
Treyarch,Historic,Arcade,M
Sukeban,Simulation,General,M
Rocky,Rhythm,Music,T
Konami,Soccer,Sim,E
Housemarque,Shooter,Horizontal,
Yacht,Platformer,2D,E
Virtuos,Compilation,Compilation,T
Ninja,Fantasy,Linear,M
GREZZO,General,Fantasy,
Mindware,Puzzle,Action,E
PopCap,Puzzle,Action,E
Clover,,,T
Neversoft,Alternative,Skateboarding,T
Yuke,Fighting,Wrestling,T
Vicarious,Alternative,Skateboarding,E
Clap,Golf,Arcade,E
Deep,Management,Tycoon,E
EA,Soccer,Sim,E
Quantic,Third-Person,Modern,M
Ubisoft,Fantasy,Linear,M
Telltale,3D,Third-Person,T
Capcom,2D,2D,T
Kunos,Simulation,Automobile,E
Falcom,Role-Playing,Action RPG,T
Amanita,General,Sci-Fi,
Mode,Modern,Tactics,
Snowblind,Role-Playing,Action RPG,T
Codemasters,Simulation,Automobile,E
Sega,Turn-Based,Tactics,T
Digital,Small Spaceship,Combat,T
Neversoft,Music,Music,T
Ruud,Action,General,
EA,Arcade,Arcade,E
Inti,Shooter,Top-Down,E
Stardock,Turn-Based,4X,
Telltale,General,Fantasy,M
TOSE,,,
Image,Platformer,2D,
Epic,Action,General,
Housemarque,Static,Top-Down,E
Digital,Vertical,Horizontal,M
Intelligent,3D,3D,E
Digital,Miscellaneous,Compilation,E
